lifetime,broken,pressureInd,moistureInd,temperatureInd,team,provider,type_of_plant,part_desc,weight
957.981851091608,1,116.0347608,113.029899,118.98411340000001,TeamB,Provider1,ZW1S0,excels tcd class out supplied ,743.3641571551559
404.18895310722297,0,89.9994371,104.97291159999999,129.9878939,TeamA,Provider1,ZW1S0,workers western conversion calculated minnesota their dramatically contribute dismantling captive stateoftheart Drill bit,377.786438819021
972.613677522168,1,111.07348689999999,90.44967458,89.94547053,TeamB,Provider3,EWHG,consists safety shifts folding narrowvein treated fingerboard fuels produces failsafe vary travers preventative sub mate information enclosure raises radius fully Traveling block,1957.20405783504
204.027240630239,0,140.9858744,87.25006628,125.47337209999999,TeamA,Provider4,ZW1S0,bolting holder maintenance isobus combustion environmental relatively pending ftlb security Drill bit,2080.6664688512697
1097.49926198274,1,101.63761099999999,97.60178301,118.0431521,TeamC,Provider4,ZW1S0,built kit table mounted offering broken provider any socks centering comstopemate working Rotary table,1554.84677804634
804.287929320708,0,99.23940261,105.93697479999999,100.62305190000001,TeamC,Provider1,EWHG,their technology utilizing reliable multipurpose built engineer fmt ever individual contact pivots prevent Racking Board,218.699352256954
206.845055799931,0,88.37081726,88.25204726,88.85615429,TeamB,Provider4,EWHG,canbus sizes bore bits times highgrade settable perimeter based manual challenge under technical for internationally engines Kelly hose,1773.7660956569
220.411433046684,1,123.7075284,95.05824196,114.31500009999999,TeamB,Provider1,ZW1S0,contract semiautomatic rating while compatibility Blowout preventer (BOP) Annular type,401.71086229383906
506.94130631163694,1,132.6130061,94.92467534,86.81560948,TeamB,Provider1,ZW1S0,transfer pneumatic platform access radius touch cyclone instead computer moving roll markets reassembled about ,1379.7020716592701
739.358495688066,0,96.70986038,89.49637124,91.67263447,TeamB,Provider1,ZW1S0,vehicle optional tons manually risk service geotechnical Stand (of drill pipe),270.702560339123
462.352542579174,1,79.21047345,91.62352994,98.48603325,TeamC,Provider1,ZW1S0,maintain actuator direct pull greatest actuation fertilizer presenter Drill bit,955.811929889023
234.470103541389,1,86.49978354,86.63641816,92.64598661,TeamB,Provider3,ZW1S0,hand overview automated easeofuse vein comdci times aqhq Kelly hose,408.33486290648597
977.163875149563,1,83.03044607,107.6538483,92.02624326,TeamA,Provider3,EWHG,biggest agreements rigid lmss sensors programs dual remembers coupled visit our Bell nipple,26.792515069246303
223.620916483924,0,127.25804779999999,97.65391673,111.91595919999999,TeamC,Provider4,ZW1S0,gives breaking operating widths semiautomatic visit ,740.8400647342211
804.8866295721381,0,101.9277194,98.61359172,97.90275087,TeamA,Provider4,ZW1S0,integrating trademark leading plastic bly comlmrodhandler individual rebuild dualtube nos tank rodhandling successful bracket guidelines Rotary table,455.565997771919
620.720888162032,1,143.8070826,106.32396010000001,122.02055800000001,TeamA,Provider1,ZW1S0,functional userfriendly wheel locators boart reference locking adjustment tractor assembly maneuverability two which shutdowns Drill bit,605.006848461926
399.351704539731,1,82.61501033,102.95964529999999,124.0469975,TeamB,Provider1,ZW1S0,leveltolevel heavy combustion original pictures innovation reserved jet weighs sahr face cooled area trademark delivers ,657.5626647099849
900.681755505502,0,81.07606688,92.81724306,123.0878047,TeamC,Provider3,ZW1S0,vwall automatic utilize cooled include track loaded cyclone rack efficiency front they where intuitive Rotary table,557.78451859951
885.907660471275,0,108.4133588,112.8680361,94.82251917,TeamC,Provider4,EWHG,injuries contact lbft descent mines standard placement steam kit processing knm Bell nipple,1336.78519017994
104.31915987283001,0,137.1074186,89.75347336,83.12919201,TeamA,Provider1,ZW1S0,delivers latest uniquely depth tells road maintain comlx widths biggest wirelineconventional fuels comlfc axle implement facilities insec differ Motor or power source,627.747935149819
333.468771912158,1,105.4103217,81.93303627,110.81743629999998,TeamA,Provider3,ZW1S0,global comes aftermarket please geological coring off stabilization mechanical crane through carbide confined retrieval umx Stand (of drill pipe),1033.74515892938
520.557956770062,0,83.31611894,102.6538603,106.3237978,TeamC,Provider2,ZW1S0,traverse china pallet descent sizes tensioner narrowvein reverse operator drills adjustment latest Casing head or Wellhead,1829.7368310391898
503.03393159993,0,82.88180029,91.02517864,94.62007382,TeamC,Provider2,EWHG,simplicity nitrochuck size subs tracking maximize solutions wwwboartlongyearcomls centre installed angles actuation dimensions settable springs point driller steer spreading version Drill floor,602.197322901338
215.18186619505298,0,124.8601041,118.14977809999999,113.8879107,TeamB,Provider4,ZW1S0,precise nrq wireline space overview coupled center equipment insert semi Blowout preventer (BOP) Pipe ram & blind ram,416.15005945786794
336.621874151751,1,84.34406647,103.3770521,113.2754593,TeamA,Provider1,ZW1S0,attachment induction coring successful rotation versatile added heliportable stage years oemtrained rotating placement locker feature duty hammer Setback (floor),1844.2846601828896
249.462222680449,0,98.4683561,100.2308122,117.3528031,TeamB,Provider2,ZW1S0,accuracy strong rotation vein retention range growing terminal fleets soft capabilities mover opened Goose-neck,660.299408156425
838.7698503211141,0,95.21464918,93.07170934,75.84542114,TeamA,Provider4,EWHG,preventative storage peak has options onoff mowing degree choice comparison shutdowns gradeability piston allowing Setback (floor),1847.7431753650303
603.644002228975,0,35.76360199,106.33552890000001,94.18852214,TeamC,Provider4,ZW1S0,delivering afterward comdci operational class dimensions sample chemical replace Suction line (mud pump),433.173544146121
332.234886009246,0,99.46358828,109.1463596,119.9772055,TeamA,Provider2,ZW1S0,per been mtu socks diaphragm meters every greatest rapid soil industryleading near ltr strong nozzle tailored shorthole flood provides legacy ,731.499071605504
623.657996440306,1,89.33143548,85.15218999,108.5998878,TeamB,Provider3,ZW1S0,lifting producing main rig same ith hydraulics utilizing professional ensure heliportable plus easeofdrilling programs innovative fixed specifications electric longyear make ,493.551469407976
918.5977772809571,1,100.8647969,108.0251614,86.01073964,TeamC,Provider1,ZW1S0,equipment bodies version levers bfl sampling Setback (floor),1448.9890090189901
162.14627982117202,0,96.98795347,96.98695666,62.95617977,TeamC,Provider3,ZW1S0,aftermarket faster deviation fit ease newest movable hopper china Setback (floor),1676.95702882484
18.378836568445,0,113.60909369999999,83.46267061,104.12249109999999,TeamA,Provider3,EWHG,bdx transition operator modeled samples enable mapping professional computer Rotary table,1916.08407804742
698.922847164795,0,90.08072329,114.42586329999999,86.140575,TeamC,Provider4,ZW1S0,spray tight onoff stainless tightening polyethylene years purge ,706.009090784937
675.3438264131549,0,115.30620379999999,105.9267071,75.19061894,TeamB,Provider3,ZW1S0,price deliver rear twin footprint reserved safety box incorporates parrallelogram multiple rating ownership cost sonic Drill floor,1035.19863579422
806.521264510229,1,83.12436689,103.95451990000001,92.11820297,TeamB,Provider1,ZW1S0,providing fluids plus button precise installed bdx Blowout preventer (BOP) Pipe ram & blind ram,127.22258968278798
938.347611110657,0,101.6767349,104.4654632,78.75495455,TeamA,Provider2,ZW1S0,featured hoist drilling pump uses pulled conversion coming zone feature special Motor or power source,879.713944531977
135.069281794131,0,106.69696359999999,97.21304372,93.85869715,TeamB,Provider2,EWHG,maneuverability tramming remembers handle incorporates modular decades ,195.36349400878
494.04931906610705,0,81.95766678,112.2018487,116.49807290000001,TeamB,Provider1,ZW1S0,system engineer spt drillers halts reference stopemaster rotary travers beacon Rotary table,276.431946922094
458.80225687287697,1,69.53731478,82.61246511,120.29126219999999,TeamC,Provider2,ZW1S0,extensive later turns stops visibility tramming able must midsized easeofdrilling drills interface brings roller attachment efficient fill large heavyduty Drill floor,1859.4335410744
822.3496736027299,0,77.52843399999999,102.3763566,107.68873130000001,TeamA,Provider2,ZW1S0,modularly but significantly uses usgpm with supervisor gullwing electro tensioner folds peak drop rpm hopper flushing joint nitrochuck exceptional Drill floor,372.35091757029295
